Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Side,City,County,Zipcode,Timezone,Wind_Direction,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight
2,10/12/2020 0:05,10/12/2020 2:59,44.008914,-97.105582,44.009954,-97.105555,L,Madison,Lake,57042-2340,US/Central,NW,Light Rain,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/8/2020 0:57,10/8/2020 3:57,43.580706,-96.791005,43.580172,-96.791003,R,Sioux Falls,Minnehaha,57107-0908,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/11/2020 22:52,10/12/2020 1:59,43.52147,-96.830797,43.518386,-96.830811,R,Sioux Falls,Minnehaha,57106,US/Central,NW,Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/23/2020 23:55,9/24/2020 0:26,43.5281,-96.701434,43.5441,-96.693944,R,Sioux Falls,Minnehaha,57103,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/16/2020 1:23,9/16/2020 3:22,43.489487,-96.702683,43.48721,-96.702704,L,Sioux Falls,Lincoln,57108,US/Central,SW,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/22/2020 21:16,9/23/2020 0:10,43.482584,-96.768745,43.485608,-96.768769,R,Sioux Falls,Lincoln,57108,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/2/2020 14:52,10/2/2020 17:55,43.514846,-96.80235,43.514838,-96.805018,L,Sioux Falls,Minnehaha,57106,US/Central,SW,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/25/2020 21:31,9/26/2020 0:38,43.514838,-96.784403,43.514817,-96.79095,R,Sioux Falls,Minnehaha,57106,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/24/2020 0:58,9/24/2020 3:46,43.518122,-96.77437,43.520497,-96.774589,L,Sioux Falls,Minnehaha,57106-0700,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/12/2020 16:22,10/12/2020 18:00,43.518003,-96.828016,43.518433,-96.828026,R,Sioux Falls,Minnehaha,57106,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/30/2020 16:14,9/30/2020 19:01,43.537561,-96.711343,43.536657,-96.711327,L,Sioux Falls,Minnehaha,57104-5324,US/Central,NNW,Partly Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,T,F,D,D,D
2,9/28/2020 16:50,9/28/2020 19:45,44.017106,-97.10549,44.017089,-97.106919,R,Madison,Lake,57042,US/Central,NNW,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 9:23,10/11/2020 12:32,42.859611,-97.898401,42.859607,-97.896919,R,Springfield,Bon Homme,57062,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/23/2020 22:37,9/24/2020 1:40,43.547574,-96.671548,43.546672,-96.671539,L,Sioux Falls,Minnehaha,57110-1235,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/11/2020 18:01,10/11/2020 21:14,43.495876,-96.769609,43.49547,-96.769395,R,Sioux Falls,Lincoln,57108,US/Central,S,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/12/2020 14:39,10/12/2020 17:42,43.503418,-96.749261,43.503185,-96.749164,R,Sioux Falls,Minnehaha,57105,US/Central,W,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 21:04,10/11/2020 22:47,43.545995,-96.731282,43.544685,-96.731292,L,Sioux Falls,Minnehaha,57104-6414,US/Central,NW,Mostly Cloudy,F,F,T,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/16/2020 3:56,9/16/2020 6:52,43.516696,-96.734997,43.514872,-96.73497,R,Sioux Falls,Minnehaha,57105-5643,US/Central,NNW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/13/2020 0:39,9/13/2020 3:48,43.516686,-96.737469,43.514867,-96.737452,R,Sioux Falls,Minnehaha,57105-5614,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/9/2020 3:55,10/9/2020 7:04,43.601992,-96.791094,43.601989,-96.790919,R,Sioux Falls,Minnehaha,57107,US/Central,S,Fair,F,F,T,F,F,F,F,F,F,F,F,T,F,N,N,N
4,11/6/2020 16:18,11/6/2020 20:00,44.368494,-97.72031,44.368502,-97.732423,R,Iroquois,Kingsbury,57353,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/27/2020 23:49,9/28/2020 2:57,43.514084,-96.741171,43.513028,-96.738414,R,Sioux Falls,Minnehaha,57105,US/Central,NW,Cloudy,F,F,F,F,F,F,F,F,F,T,F,F,F,N,N,N
2,9/25/2020 0:22,9/25/2020 2:14,43.514824,-96.781366,43.514807,-96.7806,R,Sioux Falls,Minnehaha,57106-0929,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/18/2020 15:12,9/18/2020 18:11,43.555154,-96.751275,43.554223,-96.751269,R,Sioux Falls,Minnehaha,57104,US/Central,SE,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 23:08,10/12/2020 2:14,43.544025,-96.765904,43.544027,-96.766611,R,Sioux Falls,Minnehaha,57104,US/Central,NW,Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/21/2020 18:00,9/21/2020 20:57,43.381158,-98.844824,43.380156,-98.844806,L,Platte,Charles Mix,57369,US/Central,ESE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/10/2020 20:38,10/10/2020 23:28,43.514853,-96.754858,43.514843,-96.756069,R,Sioux Falls,Minnehaha,57105-5315,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,10/2/2020 20:17,10/2/2020 22:52,43.540291,-96.76116,43.539177,-96.761164,R,Sioux Falls,Minnehaha,57104,US/Central,ENE,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/28/2020 1:54,9/28/2020 5:00,43.516708,-96.73128,43.507991,-96.731266,L,Sioux Falls,Minnehaha,57105-5711,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/14/2020 1:05,9/14/2020 3:30,43.525176,-96.774322,43.526186,-96.776074,R,Sioux Falls,Minnehaha,57106-4337,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/28/2020 21:58,9/29/2020 0:57,43.500362,-96.751595,43.500357,-96.752849,L,Sioux Falls,Lincoln,57108,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/10/2020 18:33,9/10/2020 21:17,43.500348,-96.745285,43.500366,-96.74789,L,Sioux Falls,Lincoln,57108-2875,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/7/2020 14:22,10/7/2020 17:26,43.534831,-96.711303,43.550329,-96.711421,R,Sioux Falls,Minnehaha,57105-1005,US/Central,N,Fair,F,F,T,F,F,F,T,F,F,F,F,T,F,D,D,D
2,9/28/2020 13:57,9/28/2020 17:03,43.551207,-96.682686,43.551207,-96.683741,L,Sioux Falls,Minnehaha,57103-1173,US/Central,NNW,Mostly Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/7/2020 14:17,10/7/2020 17:14,43.535412,-96.692704,43.535042,-96.692705,R,Sioux Falls,Minnehaha,57103-3215,US/Central,N,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/11/2020 2:36,10/11/2020 5:44,43.520365,-96.731288,43.518513,-96.73129,R,Sioux Falls,Minnehaha,57105-4730,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/11/2020 0:40,10/11/2020 3:47,43.54118,-96.790896,43.540317,-96.790924,R,Sioux Falls,Minnehaha,57106-0223,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/25/2020 0:01,9/25/2020 2:56,43.543961,-96.749964,43.542135,-96.749964,L,Sioux Falls,Minnehaha,57104-4025,US/Central,SE,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/3/2020 4:29,10/3/2020 6:59,43.547141,-96.691476,43.548459,-96.691471,R,Sioux Falls,Minnehaha,57103,US/Central,E,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,10/10/2020 6:20,10/10/2020 9:22,43.546789,-96.691435,43.546789,-96.692255,R,Sioux Falls,Minnehaha,57103-2010,US/Central,N,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/29/2020 20:05,9/29/2020 23:04,44.285295,-96.793694,44.283259,-96.793688,L,Brookings,Brookings,57006-4918,US/Central,NW,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,D
2,9/27/2020 7:23,9/27/2020 10:33,43.530227,-96.671435,43.529384,-96.671431,L,Sioux Falls,Minnehaha,57110-4207,US/Central,W,Mostly Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/4/2020 21:57,10/5/2020 0:47,43.545932,-96.761139,43.545934,-96.763156,R,Sioux Falls,Minnehaha,57104-2533,US/Central,SSE,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,11/6/2020 16:18,11/6/2020 20:00,44.368494,-97.72031,44.368502,-97.732423,R,Iroquois,Kingsbury,57353,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/26/2020 19:59,9/26/2020 23:08,43.567612,-96.768092,43.566957,-96.768528,R,Sioux Falls,Minnehaha,57107,US/Central,NNW,Mostly Cloudy,F,F,T,F,F,F,F,F,F,F,F,T,F,N,N,D
2,9/30/2020 13:40,9/30/2020 16:37,43.547706,-96.790915,43.548792,-96.790931,R,Sioux Falls,Minnehaha,57107-0546,US/Central,NW,Partly Cloudy / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/10/2020 18:19,9/10/2020 21:23,43.602917,-96.711316,43.603375,-96.71134,R,Sioux Falls,Minnehaha,57104-0558,US/Central,VAR,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,10/12/2020 16:22,10/12/2020 18:00,43.548637,-96.714203,43.549973,-96.714203,L,Sioux Falls,Minnehaha,57103-1606,US/Central,WSW,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,D,D,D
2,10/23/2020 16:41,10/24/2020 6:59,44.371316,-98.254995,44.371231,-98.23443,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D
2,9/23/2020 23:35,9/24/2020 2:19,43.544107,-96.693946,43.550817,-96.693756,R,Sioux Falls,Minnehaha,57103,US/Central,SSW,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/28/2020 23:59,9/29/2020 3:09,43.559485,-96.719778,43.560282,-96.719515,R,Sioux Falls,Minnehaha,57103-0164,US/Central,WNW,Fair,F,F,T,F,F,F,T,F,F,F,F,F,F,N,N,N
2,9/25/2020 22:31,9/26/2020 1:38,43.514826,-96.776769,43.514826,-96.777027,R,Sioux Falls,Minnehaha,57106,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/26/2020 4:45,9/26/2020 7:53,43.525818,-96.751215,43.523998,-96.7512,R,Sioux Falls,Minnehaha,57105-3425,US/Central,CALM,Partly Cloudy,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
4,10/23/2020 16:41,10/24/2020 6:59,44.371406,-98.234403,44.372038,-98.234383,R,Huron,Beadle,57350,US/Central,NW,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,D,D,D
2,10/7/2020 2:28,10/7/2020 5:37,43.514741,-96.711753,43.515291,-96.711579,R,Sioux Falls,Minnehaha,57105,US/Central,CALM,Fair,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,12/30/2020 1:49,12/30/2020 3:08,43.608991,-96.475696,43.608816,-96.496168,R,Valley Springs,Minnehaha,57068,US/Central,NW,Fair / Windy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
2,9/22/2020 22:39,9/23/2020 1:43,43.514869,-96.73124,43.514869,-96.730468,R,Sioux Falls,Minnehaha,57105-5650,US/Central,S,Fair,F,F,F,F,F,F,F,F,F,F,F,T,F,N,N,N
2,9/12/2020 21:53,9/13/2020 0:36,43.549374,-96.671582,43.550287,-96.671597,R,Sioux Falls,Minnehaha,57110-1231,US/Central,CALM,Cloudy,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,N
